174.74776439,-41.28012550,"12 Bristow Place, Karori, Wellington",Wrong Side: 347769
174.79589197,-41.29259657,"22 Telford Terrace, Oriental Bay, Wellington",Wrong Side: 377607
174.79579343,-41.29249182,"24 Telford Terrace, Oriental Bay, Wellington",Wrong Side: 377616
174.83975687,-41.15942265,"25 Rangatira Road, Tawa, Wellington",Wrong Side: 396853
174.84414833,-41.17458692,"90 Woodburn Drive, Takapu Valley, Wellington",Wrong Side: 397168
174.90094817,-41.20391962,"11 City View Grove, Harbour View, Lower Hutt",Wrong Side: 414171
174.90313302,-41.41709007,"1960 Coast Road, Wainuiomata Coast",Wrong Side: 416230
174.97582435,-41.23970430,"30 Brookfield Lane, Wainuiomata, Lower Hutt",Wrong Side: 445319
175.06151260,-40.87928082,"1 Inverell Place, Waikanae",Wrong Side: 475664
175.06120725,-40.87936868,"4 Inverell Place, Waikanae",Wrong Side: 475877
175.63902710,-40.66153572,"421 Parkville Road, Eketahuna",Wrong Side: 547630
175.63569851,-40.66023252,"454 Parkville Road, Eketahuna",Wrong Side: 547631
175.83150550,-40.46044785,"19 Jervois Street, Pahiatua",Wrong Side: 563109
175.83208947,-40.46002838,"23 Jervois Street, Pahiatua",Wrong Side: 563110
175.84999377,-40.45380448,"52 Edward Street, Pahiatua",Wrong Side: 564074
176.28791938,-40.18228922,"1872 Maunga Road, Ormondville",Wrong Side: 591803
175.00116542,-40.92305258,"146 Boundary Terrace, Raumati Beach, Paraparaumu",Wrong Side: 647670
175.00120788,-40.92300558,"148 Boundary Terrace, Raumati Beach, Paraparaumu",Wrong Side: 647857
174.79573832,-41.29240535,"26 Telford Terrace, Oriental Bay, Wellington",Wrong Side: 909022
175.32860597,-41.11720448,"3 Clifford Square, Featherston",Wrong Side: 1327336
176.29770878,-40.42051383,"141 Falls Road, Weber",Wrong Side: 1421692
176.02023350,-40.26357420,"32 Graham Road, Dannevirke",Wrong Side: 1431232
175.01511975,-40.90078947,"11 Soldiers Way, Paraparaumu",Wrong Side: 1432338
174.97262827,-41.17845888,"20 Shaftesbury Grove, Stokes Valley, Lower Hutt",Wrong Side: 1440217
175.64747675,-40.66012795,"343 Parkville Road, Eketahuna",Wrong Side: 1466429
175.09310768,-41.13790810,"29 Mangaroa Valley Road, Mangaroa, Upper Hutt",Wrong Side: 1481903
175.82527500,-40.83263600,"669 Mangarei Road, Bideford",Wrong Side: 1546862
175.99576522,-41.15736462,"2542 Homewood Road, Homewood",Wrong Side: 1547491
175.99687695,-41.15640428,"2528 Homewood Road, Homewood",Wrong Side: 1547493
174.79339867,-41.25621495,"12 Hervey Way, Kaiwharawhara, Wellington",Wrong Side: 1555613
175.64659604,-40.65982581,"352 Parkville Road, Eketahuna",Wrong Side: 1578218
174.81904213,-41.16432650,"30B Westra View, Tawa, Wellington",Wrong Side: 1630970
174.81908852,-41.16445518,"30A Westra View, Tawa, Wellington",Wrong Side: 1630971
175.00784570,-41.08498443,"100A Bulls Run Road, Moonshine Valley",Wrong Side: 1691729
174.76228107,-41.31398312,"17 Stock Street, Brooklyn, Wellington",Wrong Side: 1729129
174.76244995,-41.31404358,"19 Stock Street, Brooklyn, Wellington",Wrong Side: 1729130
174.76252378,-41.31412352,"21 Stock Street, Brooklyn, Wellington",Wrong Side: 1729131
175.62098715,-40.28090028,"11 Ruffs Road, Bunnythorpe",Wrong Side: 1937806
175.00125262,-40.92295302,"152 Boundary Terrace, Raumati Beach, Paraparaumu",Wrong Side: 1974149
175.36095728,-40.22614163,"382 McDonell Road, Ohakea, Bulls",Wrong Side: 1983587
175.00129138,-40.92289772,"154 Boundary Terrace, Raumati Beach, Paraparaumu",Wrong Side: 1991051
175.00134435,-40.92284672,"156 Boundary Terrace, Raumati Beach, Paraparaumu",Wrong Side: 1991052
175.55861173,-40.21673385,"12 St Johns Close, Feilding",Wrong Side: 2032412
175.57886132,-40.40861305,"6 Canea Place, Linton Camp, Palmerston North",Wrong Side: 2043779
175.57920450,-40.40884934,"1 Canea Place, Linton Camp, Palmerston North",Wrong Side: 2043780
175.00139366,-40.92278495,"158 Boundary Terrace, Raumati Beach, Paraparaumu",Wrong Side: 2098507
175.64998850,-40.39029189,"65 Johnstone Drive, Fitzherbert, Palmerston North",Wrong Side: 2106410
175.75477377,-40.27960680,"4 Monarch Drive, Ashhurst",Wrong Side: 2136227
175.75479883,-40.27977421,"6 Monarch Drive, Ashhurst",Wrong Side: 2136228
175.75478079,-40.27993160,"8 Monarch Drive, Ashhurst",Wrong Side: 2136229
175.75477076,-40.28009200,"10 Monarch Drive, Ashhurst",Wrong Side: 2136230
175.75470009,-40.28031104,"12 Monarch Drive, Ashhurst",Wrong Side: 2136231
