170.51202,-45.85923,"North Dunedin, Dunedin",0xa00,0xb00,10003
169.2577,-44.61029,Lake Hawea,0xc00,0xd00,2235
170.4725,-45.90567,"Corstorphine, Dunedin",0xc00,0xd00,2085
170.55392,-45.86575,"Ravensbourne, Dunedin",0xd00,0xe00,1026
170.48139,-45.90364,"Kew, Dunedin",0xd00,0xe00,1017
170.23056,-45.85818,Outram,0xd00,0xe00,1006
168.38501,-44.84983,Glenorchy,0xe00,0xf00,520
168.41058,-46.37486,Myross Bush,0xe00,0xf00,501
168.12864,-46.20748,Isla Bank,0xf00,0x1000,211
170.70064,-45.77726,Aramoana,0xf00,0x1000,210
170.45104,-45.91669,"Blackhead, Dunedin",0xf00,0x1000,205
170.05441,-45.27485,Patearoa,0xf00,0x1000,203
168.85003,-46.25126,Tuturau,0xf00,0x1000,202
168.63026,-45.80194,Ardlussa,0x1000,0x1100,108
168.35722,-46.40534,"Queens Park, Invercargill",0x1000,0x1100,107
170.00001,-45.95353,Berwick Forest,0x1000,0x1100,107
167.4425,-45.24015,Fiordland National Park,0x1000,0x1100,105
168.23583,-45.81654,Castle Downs,0x1000,0x1100,105
169.6177,-46.15376,Pukeawa,0x1000,0x1100,104
168.6564,-46.46687,Ashers,0x1000,0x1100,103
170.72685,-45.79116,Harington Point,0x1000,0x1100,102
170.54867,-45.77198,Upper Waitati,0x1000,0x1100,102
168.47511,-46.29658,Grove Bush,0x1000,0x1100,102
168.43255,-45.66349,Lowther,0x1000,0x1100,102
167.73826,-46.28259,Orepuki,0x1000,0x1100,102
168.5328,-46.40095,Rimu,0x1000,0x1100,101
168.13406,-45.83304,"Dunrobin, Otautau",0x1000,0x1100,100
170.37013,-45.90657,"Saddle Hill, Dunedin",0x1100,0x1000,99
170.19148,-46.05339,Taieri Mouth,0x1100,0x1000,94
170.50749,-44.79008,Otiake,0x1100,0x1000,93
169.47076,-45.31056,Little Valley,0x1100,0x1000,79
